name,locality_type,incorporation_date,postal_address,regional_district
Alberni-Clayoquot,regional district,"April 21, 1966","3008 Fifth Ave, Port Alberni, V9Y2E3",
Port Alberni,city,"October 28, 1967","4850 Argyle St, Port Alberni, V9Y1V8",Alberni-Clayoquot
Tofino,district,"February 05, 1932","PO Box 9 121 - 3rd St, Tofino, V0R2Z0",Alberni-Clayoquot
Ucluelet,district,"February 26, 1952","PO Box 999 200 Main St, Ucluelet, V0R3A0",Alberni-Clayoquot

Bulkley-Nechako,regional district,"February 01, 1966","PO Box 820 37 - 3rd Ave, Burns Lake, V0J1E0",
Burns Lake,corporation of the village,"December 06, 1923","Box 570 15 - 3rd Ave, Burns Lake, V0J1E0",Bulkley-Nechako
Fort St. James,district,"December 19, 1952","PO Box 640 477 Stuart Dr West, Fort St. James, V0J1P0",Bulkley-Nechako
Fraser Lake,village,"September 27, 1966","Box 430 210 Carrier Cres, Fraser Lake, V0J1S0",Bulkley-Nechako
Granisle,village,"June 29, 1971","Box 128 1 McDonald Ave, Granisle, V0J1W0",Bulkley-Nechako
Houston,district,"March 04, 1957","Box 370 3367 - 12th St, Houston, V0J1Z0",Bulkley-Nechako
Smithers,town,"October 06, 1921","Box 879 1027 Aldous St, Smithers, V0J2N0",Bulkley-Nechako
Telkwa,corporation of the village,"July 18, 1952","PO Box 220 1415 Hankin Ave, Telkwa, V0J2X0",Bulkley-Nechako
Vanderhoof,district,"January 22, 1926","PO Box 900 160 Connaught St, Vanderhoof, V0J3A0",Bulkley-Nechako

The Capital,regional district,"February 01, 1966","PO Box 1000 625 Fisgard St, Victoria, V8W2S6",
Central Saanich,corporation of the district,"December 12, 1950","1903 Mt. Newton Cross Rd, Saanichton, V8M2A9",The Capital
Colwood,city,"June 24, 1985","3300 Wishart Rd, Victoria, V9C1R1",The Capital
Esquimalt,corporation of the township,"September 01, 1912","1229 Esquimalt Rd, Victoria, V9A3P1",The Capital
Highlands,district,"December 07, 1993","1980 Millstream Rd, Victoria, V9B6H1",The Capital
Langford,city,"December 08, 1992","877 Goldstream Ave 2nd Fl 2nd Floor, Victoria, V9B2X8",The Capital
Metchosin,district,"December 03, 1984","4450 Happy Valley Rd, Victoria, V9C3Z3",The Capital
North Saanich,district,"August 19, 1965","1620 Mills Rd, North Saanich, V8L5S9",The Capital
Oak Bay,corporation of the district,"July 02, 1906","2167 Oak Bay Ave, Victoria, V8R1G2",The Capital
Saanich,corporation of the district,"March 01, 1906","770 Vernon Ave, Victoria, V8X2W7",The Capital
Sidney,town,"September 30, 1952","2440 Sidney Ave, Sidney, V8L1Y7",The Capital
Sooke,district,"December 07, 1999","2205 Otter Point Rd, Sooke, V9Z1J2",The Capital
Victoria,corporation of the city,"August 02, 1862","1 Centennial Square, Victoria, V8W1P6",The Capital
View Royal,town,"December 05, 1988","45 View Royal Ave, Victoria, V9B1A6",The Capital

Cariboo,regional district,"July 09, 1968","180 North 3rd Ave Suite D Suite D, Williams Lake, V2G2A4",
100 Mile House,district,"July 27, 1965","Box 340 385 Birch Ave, 100 Mile House, V0K2E0",Cariboo
Quesnel,city,"March 21, 1928","410 Kinchant St, Quesnel, V2J7J5",Cariboo
Wells,district,"June 29, 1998","Box 219 4243 Sanders Ave, Wells, V0K2R0",Cariboo
Williams Lake,city,"March 15, 1929","450 Mart St, Williams Lake, V2G1N3",Cariboo

Central Coast,regional district,"July 16, 1968","PO Box 186 626 Cliff St, Bella Coola, V0T1C0",

Central Kootenay,regional district,"November 30, 1965","Box 590 202 Lakeside Dr, Nelson, V1L5R4",
Castlegar,city,"January 01, 1974","460 Columbia Ave, Castlegar, V1N1G7",Central Kootenay
Creston,town,"May 14, 1924","PO Box 1339 238 - 10th Ave North, Creston, V0B1G0",Central Kootenay
Kaslo,village,"August 14, 1893","Box 576 312 Fourth St, Kaslo, V0G1M0",Central Kootenay
Nakusp,village,"November 24, 1964","PO Box 280 91 - 1st St NW, Nakusp, V0G1R0",Central Kootenay
Nelson,corporation of the city,"March 18, 1897","101 - 310 Ward St, Nelson, V1L5S4",Central Kootenay
New Denver,corporation of the village,"January 12, 1929","Box 40 115 Slocan Ave, New Denver, V0G1S0",Central Kootenay
Salmo,corporation of the village,"October 30, 1946","PO Box 1000 423 Davies Ave, Salmo, V0G1Z0",Central Kootenay
Silverton,corporation of the village,"May 06, 1930","421 Lake Ave 421 Lake Ave, Silverton, V0G2B0",Central Kootenay
Slocan,village,"June 01, 1901","Box 50 503 Slocan St, Slocan, V0G2C0",Central Kootenay

Central Okanagan,regional district,"August 24, 1967","1450 KLO Rd, Kelowna, V1W3Z4",
Kelowna,city,"May 04, 1905","1435 Water St, Kelowna, V1Y1J4",Central Okanagan
Lake Country,district,"May 02, 1995","10150 Bottom Wood Lake Rd, Lake Country, V4V2M1",Central Okanagan
Peachland,corporation of the district,"January 01, 1909","5806 Beach Ave, Peachland, V0H1X7",Central Okanagan
West Kelowna,city,"December 06, 2007","2760 Cameron Rd, West Kelowna, V1Z2T6",Central Okanagan

Columbia Shuswap,regional district,"November 30, 1965","PO Box 978 781 Marine Park Dr NE, Salmon Arm, V1E4P1",
Golden,town,"June 26, 1957","Box 350 810 South 9th Ave, Golden, V0A1H0",Columbia Shuswap
Revelstoke,city,"March 01, 1899","Box 170 216 Mackenzie Ave, Revelstoke, V0E2S0",Columbia Shuswap
Salmon Arm,city,"May 15, 1905","Box 40 500 - 2 Ave NE, Salmon Arm, V1E4N2",Columbia Shuswap
Sicamous,district,"December 04, 1989","Box 219 PO BOX 219, Sicamous, V0E2V0",Columbia Shuswap

Comox Valley,regional district,"February 15, 2008","770 Harmston Ave, Courtenay, V9N0G8",
